,Statistic,Value,Name
0,global_accuracy,0.6222,FlairAnnotator
1,macro_precision,0.5185,FlairAnnotator
2,macro_recall,0.4506852362417508,FlairAnnotator
3,macro_f1,0.4616275238656909,FlairAnnotator
4,micro_precision,0.6222,FlairAnnotator
5,micro_recall,0.6222,FlairAnnotator
6,micro_f1,0.6222,FlairAnnotator
7,name,FlairAnnotator,FlairAnnotator
0,global_accuracy,0.4812,SentiAnnotator
1,macro_precision,0.40099999999999997,SentiAnnotator
2,macro_recall,0.32643209693824754,SentiAnnotator
3,macro_f1,0.3504343227516418,SentiAnnotator
4,micro_precision,0.4812,SentiAnnotator
5,micro_recall,0.4812,SentiAnnotator
6,micro_f1,0.4812,SentiAnnotator
7,name,SentiAnnotator,SentiAnnotator
0,global_accuracy,0.605,ChatGPTAnnotator
1,macro_precision,0.311518421418154,ChatGPTAnnotator
2,macro_recall,0.334067810869931,ChatGPTAnnotator
3,macro_f1,0.29841585226151307,ChatGPTAnnotator
4,micro_precision,0.605,ChatGPTAnnotator
5,micro_recall,0.605,ChatGPTAnnotator
6,micro_f1,0.605,ChatGPTAnnotator
7,name,ChatGPTAnnotator,ChatGPTAnnotator
